agent_id,gender,age,last_lat,last_lon,last_known_location,last_node_id,home_id,home_type,home_building_id,home_lat,home_lon,profession,work_place,work_place_type,work_place_building_id,work_place_lat,work_place_lon,last_infection_status,last_health_status,last_activities,eating_out_preference,vaccinated
4648,M,56,36.086082950000005,140.1000398,office,226,2397,apartments,1657,36.101925800000004,140.097756675,salaryman,226,office,226,36.086082950000005,140.1000398,Susceptible,Normal,going home,0.68,False
2535,F,59,36.080073325,140.1191988,apartments,691,571,apartments,691,36.080073325,140.1191988,salaryman_outside_city,10,train_station,10,36.082676766666665,140.11130317777778,Susceptible,Normal,idle,0.21,False
668,F,28,36.118673466666664,140.09556133333334,residential,945,1936,residential,945,36.118673466666664,140.09556133333334,university_student,1743,university,1743,36.102356660000005,140.10391674,Susceptible,Normal,idle,0.12,False
2060,F,49,36.096120150000004,140.09599310000002,residential,646,174,residential,646,36.096120150000004,140.09599310000002,medical_doctor,31,hospital,31,36.08728615,140.1144638,Recovered,Normal,do groceries,0.25,False
703,F,59,36.101925800000004,140.097756675,apartments,1657,3003,apartments,1657,36.101925800000004,140.097756675,university_student,1504,university,1504,36.115069150000004,140.1035333,Recovered,Normal,do groceries,0.48,False
4740,F,61,36.088228875,140.1168709,apartments,790,103,apartments,790,36.088228875,140.1168709,restaurant_worker,473,restaurant,473,36.09450645,140.097282425,Susceptible,Normal,go to restaurant,0.54,False
2138,F,52,36.0935767875,140.10553295416665,residential,153,2972,residential,153,36.0935767875,140.10553295416665,medical_doctor,1722,hospital,1722,36.0915899,140.10315745,Susceptible,Normal,do groceries,0.55,False
1415,M,27,36.098612800000005,140.10008968333332,apartments,1330,2020,apartments,1330,36.098612800000005,140.10008968333332,university_student,176,university,176,36.1092646,140.09951885,Susceptible,Normal,do groceries,0.29,False
1717,F,47,36.090141925,140.11263175,apartments,774,1105,apartments,774,36.090141925,140.11263175,university_student,544,university,544,36.1096298,140.1006767,Susceptible,Normal,idle,0.4,False
305,F,7,36.10201346666667,140.09755006666668,residential,1661,987,residential,1661,36.10201346666667,140.09755006666668,student,1725,school,1725,36.085483999999994,140.109305075,Susceptible,Normal,do groceries,0.31,False
625,F,19,36.085644566666666,140.09655905000002,house,338,1826,house,338,36.085644566666666,140.09655905000002,university_student,442,university,442,36.11093386499999,140.099920975,Susceptible,Normal,idle,0.0,False
3628,F,37,36.09672616666666,140.09556098333334,apartments,1602,995,apartments,1602,36.09672616666666,140.09556098333334,retailer,1628,retail,1628,36.08076295,140.11743995,Susceptible,Normal,do groceries,0.36,False
3487,M,65,36.09237335,140.10356325,residential,154,2008,residential,154,36.09237335,140.10356325,retailer,1019,retail,1019,36.109671125,140.1084524,Susceptible,Normal,go to work,0.36,False
4552,M,23,36.085997299999995,140.11793445,apartments,797,375,apartments,797,36.085997299999995,140.11793445,salaryman,708,office,708,36.079272085714294,140.10968898571429,Susceptible,Normal,do groceries,0.22,False
3453,M,44,36.07981494137931,140.11989825172415,apartments,674,2366,apartments,674,36.07981494137931,140.11989825172415,retailer,1629,retail,1629,36.080402925,140.11653137499997,Susceptible,Normal,idle,0.23,False
4339,F,53,36.07991555,140.1094396,office,705,2903,apartments,1713,36.08775525,140.09991795,salaryman,705,office,705,36.07991555,140.1094396,Susceptible,Normal,going home,0.24,False
763,F,26,36.093527550000005,140.0927136,apartments,1549,2577,apartments,1549,36.093527550000005,140.0927136,university_student,442,university,442,36.11093386499999,140.099920975,Susceptible,Normal,idle,0.08,False
2541,M,54,36.10786613333333,140.1083229333333,apartments,1252,3230,apartments,1252,36.10786613333333,140.1083229333333,salaryman_outside_city,10,train_station,10,36.082676766666665,140.11130317777778,Susceptible,Normal,going home,0.54,False
